1, plains, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
2, plains, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
3, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, plains, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
5, plains, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
6, plains, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
7, plains, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
8, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
9, plains, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
10, plains, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
11, plains, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
12, plains, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
13, plains, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
14, plains, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
15, plains, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
16, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
17, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
18, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
19, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
20, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
21, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
22, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
23, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
24, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
25, none, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
26, none, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
27, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 4, 4
28, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
